shape_id,shape_pt_sequence,shape_dist_traveled,shape_pt_lat,shape_pt_lon
30,0,,49.445370000000004,7.772340000000001
30,1,,49.44585000000001,7.770770000000001
30,2,,49.445530000000005,7.7666900000000005
30,3,,49.444570000000006,7.765720000000001
30,4,,49.44404000000001,7.761730000000001
30,5,,49.44373000000001,7.7591600000000005
30,6,,49.44286000000001,7.75959
30,7,,49.44203000000001,7.76042
30,8,,49.44062000000001,7.76237
30,9,,49.439020000000006,7.76452
30,10,,49.437340000000006,7.76682
30,11,,49.43657,7.76356
30,12,,49.43518,7.76214
30,13,,49.434740000000005,7.76152
30,14,,49.43428000000001,7.76175
30,15,,49.43385000000001,7.76158
30,16,,49.43363000000001,7.76098
30,17,,49.43381000000001,7.75804
30,18,,49.43290000000001,7.75476
30,19,,49.43003000000001,7.7524500000000005
30,20,,49.428230000000006,7.75079
30,21,,49.427040000000005,7.74959
30,22,,49.42492000000001,7.74931
30,23,,49.42492000000001,7.74931
30,24,,49.42492000000001,7.74931
